iter	RMSE
0	0.136889173
1	0.131829062
2	0.1269068329
3	0.1221572976
4	0.1176130882
5	0.1132626813
6	0.1091131704
7	0.1050896129
8	0.10125281
9	0.09756058757
10	0.09404965261
11	0.09069390227
12	0.08746951946
13	0.0843664277
14	0.08135077952
15	0.07849357678
16	0.07577708237
17	0.07314816644
18	0.07059761094
19	0.06816645298
20	0.06585032611
21	0.06363653719
22	0.06146928284
23	0.05936075207
24	0.05743554461
25	0.05552869653
26	0.05375035784
27	0.05203219507
28	0.0503353895
29	0.04881585738
30	0.04722414335
31	0.04574537697
32	0.04434032543
33	0.04290157673
34	0.04159716865
35	0.0403202354
36	0.03911979795
37	0.03799207191
38	0.03688188978
39	0.0357865493
40	0.03473919683
41	0.03377152359
42	0.03279946961
43	0.03184507335
44	0.03102056871
45	0.03014013174
46	0.02933446027
47	0.02855148008
48	0.02783863332
49	0.02712303725
50	0.02645233177
51	0.02583602226
52	0.02519139486
53	0.0245956471
54	0.02410409172
55	0.02357807198
56	0.02309039761
57	0.02258398893
58	0.0221053752
59	0.021708164
60	0.02132546277
61	0.02088765534
62	0.0205016095
63	0.02012409731
64	0.0198343553
65	0.01948340011
66	0.01913948393
67	0.01882626872
68	0.01853123221
69	0.01827217938
70	0.01798943646
71	0.0177222487
72	0.01745550536
73	0.01720813892
74	0.0170281065
75	0.01679075042
76	0.01656836204
77	0.01633451789
78	0.0161139955
79	0.01593558667
80	0.01575236576
81	0.01555124959
82	0.01537360557
83	0.01520604626
84	0.0150675602
85	0.01489371119
86	0.01474367517
87	0.01462123266
88	0.01447360226
89	0.01437207194
90	0.01425814218
91	0.0141317933
92	0.01404898609
93	0.01394582246
94	0.01386853368
95	0.01379228392
96	0.01369799791
97	0.01362343271
98	0.01352715857
99	0.01346522508
100	0.01340679776
101	0.01335753212
102	0.01327590929
103	0.01321682671
104	0.01316439449
105	0.01310473802
106	0.01301684334
107	0.0129466716
108	0.01289166048
109	0.0128491153
110	0.01277843114
111	0.01272343169
112	0.0126671855
113	0.01261444866
114	0.01254700247
115	0.01249079937
116	0.01245718367
117	0.01243960345
118	0.0123955093
119	0.01234504379
120	0.01230278774
121	0.01225105929
122	0.01222338242
123	0.0122163815
124	0.01221340748
125	0.01220838136
126	0.01214654339
127	0.01211958538
128	0.01208614405
129	0.01207334276
130	0.0120624212
131	0.01204292437
132	0.01204073793
133	0.01203332089
134	0.01202222358
135	0.01200776323
136	0.0120063206
137	0.01200375044
138	0.01200300782
139	0.01200073813
140	0.01199948475
141	0.01199900753
142	0.01197596696
143	0.0119325531
144	0.01193061299
145	0.0119161648
146	0.01186018883
147	0.01185971139
148	0.01185949694
149	0.01185119111
150	0.0118508459
151	0.01184163216
152	0.01183738856
153	0.01182786024
154	0.0118273792
155	0.01182720746
156	0.01182669798
157	0.01176405656
158	0.01176394952
159	0.01176372282
160	0.01176322326
161	0.01176313037
162	0.01176288777
163	0.01176269647
164	0.01176261132
165	0.0117625535
166	0.01176252519
167	0.01176229191
168	0.01176218105
169	0.01176213678
170	0.01176209006
171	0.0117619135
172	0.01176188154
173	0.01176183934
174	0.0117226689
175	0.01172255525
176	0.01172246704
177	0.01172236595
178	0.0117223476
179	0.01169680449
180	0.01169678031
181	0.01169676599
182	0.01169675279
183	0.01169668445
184	0.01164763752
185	0.0116476274
186	0.01164761808
187	0.01160971819
188	0.01160971781
189	0.01160971113
190	0.01160970616
191	0.01160963103
192	0.011584287
193	0.01155351383
194	0.01155351123
195	0.01155350883
196	0.01155350574
197	0.01152014604
198	0.01152014454
199	0.01150122401
200	0.01145161206
201	0.01145161178
202	0.01145160984
203	0.01145160971
204	0.01145160323
205	0.01145160294
206	0.01144277658
207	0.01142235747
208	0.01138074816
209	0.01138074782
210	0.01133685966
211	0.01133685965
212	0.01131362759
213	0.01129246424
214	0.0112738619
215	0.01127386151
216	0.01127386149
217	0.01127386145
218	0.01127380797
219	0.01126593031
220	0.01126593007
221	0.0112659298
222	0.01126592959
223	0.01126587909
224	0.0112554586
225	0.01123443897
226	0.01122387566
227	0.01122387208
228	0.01122386972
229	0.01122386619
230	0.01122386158
231	0.01122385943
232	0.01118226306
233	0.01118226031
234	0.01118225777
235	0.01117186335
236	0.01113219194
237	0.01113218723
238	0.01108814538
239	0.01103138749
240	0.01101108224
241	0.01099081879
242	0.01099080565
243	0.01098683048
244	0.01098683047
245	0.01098581208
246	0.01098580081
247	0.01095628459
248	0.01095628456
249	0.0109562402
250	0.01095619134
251	0.01095611347
252	0.01095607397
253	0.01095551024
254	0.01095551024
255	0.0109553982
256	0.0109553837
257	0.01094460098
258	0.01094460094
259	0.01093224497
260	0.01093224488
